job,marital,default,housing,loan,contact,month,poutcome,deposit
admin.,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,no,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,no,no,unknown,may,unknown,yes
management,single,no,yes,yes,unknown,may,unknown,yes
management,married,no,yes,yes,unknown,may,unknown,yes
retired,divorced,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,yes,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
admin.,divorced,no,yes,yes,unknown,may,unknown,yes
admin.,divorced,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
unemployed,single,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,yes,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
management,single,no,no,no,unknown,may,unknown,yes
blue-collar,married,no,no,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,yes,unknown,may,unknown,yes
management,married,no,yes,no,unknown,may,unknown,yes
entrepreneur,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
housemaid,married,no,yes,no,unknown,may,unknown,yes
technician,divorced,no,yes,no,unknown,may,unknown,yes
