ID,sex,race,grad,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,gender,parttime,male,race1,race2,Dropout,other,asian,black,hisp,pass_bar,bar,bar_passed,tier,index6040,indxgrp,indxgrp2,dnn_bar_pass_prediction,gpa
2,1.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,886.842082,g 700+,i 820+,0.9798045,3.5
3,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,2.0,649.999987,f 640-700,f 640-700,0.9798045,3.5
36,2.0,7.0,Y,P,7.0,P,94.0,1.0,1.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,760.526298,g 700+,h 760-820,0.9798045,3.5
52,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,807.894717,g 700+,h 760-820,0.9798045,3.5
55,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,949.999974,g 700+,i 820+,0.9798045,3.5
72,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
74,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
89,2.0,7.0,Y,P,7.0,P,95.0,2.0,2.0,male,1.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
109,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,823.68419,g 700+,i 820+,0.9798045,3.5
143,1.0,4.0,Y,F,7.0,F,94.0,1.0,2.0,female,0.0,0.0,hisp,c other,NO,0,0,0,0,0,c Failed,False,1.0,634.210514,e 580-640,e 580-640,0.9798045,3.5
144,1.0,7.0,Y,F,2.0,F,95.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,0,c Failed,False,2.0,713.157879,g 700+,g 700-760,0.9798045,3.5
146,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,760.526298,g 700+,h 760-820,0.9798045,3.5
158,2.0,7.0,Y,P,7.0,P,94.0,1.0,,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
160,1.0,7.0,Y,P,7.0,P,94.0,1.0,2.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,681.578933,f 640-700,f 640-700,0.9798045,3.5
174,2.0,7.0,Y,P,7.0,P,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,855.263136,g 700+,i 820+,0.9798045,3.5
202,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
208,2.0,2.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,asian,c other,NO,0,1,0,0,1,a Passed 1st time,True,5.0,807.894717,g 700+,h 760-820,0.9798045,3.5
213,1.0,7.0,Y,F,7.0,P,95.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,5.0,713.157879,g 700+,g 700-760,0.9798045,3.5
231,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,886.842082,g 700+,i 820+,0.9798045,3.5
268,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,807.894717,g 700+,h 760-820,0.9798045,3.5
269,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
319,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,665.78946,f 640-700,f 640-700,0.9798045,3.5
326,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,760.526298,g 700+,h 760-820,0.9798045,3.5
328,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,792.105244,g 700+,h 760-820,0.9798045,3.5
337,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,744.736825,g 700+,g 700-760,0.9798045,3.5
350,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,2.0,681.578933,f 640-700,f 640-700,0.9798045,3.5
377,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,934.210501,g 700+,i 820+,0.9798045,3.5
381,1.0,7.0,Y,P,2.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
388,1.0,7.0,Y,F,7.0,P,96.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,2.0,665.78946,f 640-700,f 640-700,0.9798045,3.5
389,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
392,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,807.894717,g 700+,h 760-820,0.9798045,3.5
393,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,949.999974,g 700+,i 820+,0.9798045,3.5
401,2.0,7.0,Y,P,7.0,P,94.0,1.0,1.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,776.315771,g 700+,h 760-820,0.9798045,3.5
410,1.0,7.0,Y,P,7.0,P,94.0,1.0,2.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,807.894717,g 700+,h 760-820,0.9798045,3.5
445,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,713.157879,g 700+,g 700-760,0.9798045,3.5
462,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,902.631555,g 700+,i 820+,0.9798045,3.5
478,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,760.526298,g 700+,h 760-820,0.9798045,3.5
482,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,886.842082,g 700+,i 820+,0.9798045,3.5
485,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,673.6841965,f 640-700,f 640-700,0.9798045,3.5
491,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,823.68419,g 700+,i 820+,0.9798045,3.5
493,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,949.999974,g 700+,i 820+,0.9798045,3.5
536,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,807.894717,g 700+,h 760-820,0.9798045,3.5
580,1.0,7.0,Y,P,7.0,P,95.0,2.0,3.0,female,1.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,681.578933,f 640-700,f 640-700,0.9798045,3.5
586,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,721.0526155,g 700+,g 700-760,0.9798045,3.5
599,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,681.578933,f 640-700,f 640-700,0.9798045,3.5
602,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
610,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,792.105244,g 700+,h 760-820,0.9798045,3.5
626,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,665.78946,f 640-700,f 640-700,0.9798045,3.5
634,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,776.315771,g 700+,h 760-820,0.9798045,3.5
642,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
647,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,728.947352,g 700+,g 700-760,0.9798045,3.5
657,2.0,7.0,Y,P,7.0,P,95.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,744.736825,g 700+,g 700-760,0.9798045,3.5
692,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,886.842082,g 700+,i 820+,0.9798045,3.5
694,2.0,7.0,Y,P,7.0,P,94.0,1.0,,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,673.6841965,f 640-700,f 640-700,0.9798045,3.5
726,1.0,7.0,Y,F,7.0,P,95.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,4.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
727,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,776.315771,g 700+,h 760-820,0.9798045,3.5
735,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,634.210514,e 580-640,e 580-640,0.9798045,3.5
744,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,807.894717,g 700+,h 760-820,0.9798045,3.5
793,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,2.0,744.736825,g 700+,g 700-760,0.9798045,3.5
795,1.0,3.0,Y,P,2.0,P,94.0,1.0,4.0,female,0.0,0.0,black,a black,NO,0,0,1,0,1,a Passed 1st time,True,5.0,776.315771,g 700+,h 760-820,0.9798045,3.5
807,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,918.421028,g 700+,i 820+,0.9798045,3.5
812,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,807.894717,g 700+,h 760-820,0.9798045,3.5
823,2.0,7.0,Y,F,7.0,F,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,0,c Failed,False,2.0,713.157879,g 700+,g 700-760,0.9798045,3.5
842,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,871.052609,g 700+,i 820+,0.9798045,3.5
