school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,absences
GP,F,U,GT3,A,at_home,teacher,course,mother,yes,no,no,no,yes,yes,no,no,4
GP,F,U,GT3,T,at_home,other,course,father,no,yes,no,no,no,yes,yes,no,2
GP,F,U,LE3,T,at_home,other,other,mother,yes,no,no,no,yes,yes,yes,no,6
GP,F,U,GT3,T,health,services,home,mother,no,yes,no,yes,yes,yes,yes,yes,0
GP,F,U,GT3,T,other,other,home,father,no,yes,no,no,yes,yes,no,no,0
GP,M,U,LE3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,6
GP,M,U,LE3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,no,0
GP,F,U,GT3,A,other,teacher,home,mother,yes,yes,no,no,yes,yes,no,no,2
GP,M,U,LE3,A,services,other,home,mother,no,yes,no,no,yes,yes,yes,no,0
GP,M,U,GT3,T,other,other,home,mother,no,yes,no,yes,yes,yes,yes,no,0
GP,F,U,GT3,T,teacher,health,reputation,mother,no,yes,no,no,yes,yes,yes,no,2
GP,F,U,GT3,T,services,other,reputation,father,no,yes,no,yes,yes,yes,yes,no,0
GP,M,U,LE3,T,health,services,course,father,no,yes,no,yes,yes,yes,yes,no,0
GP,M,U,GT3,T,teacher,other,course,mother,no,yes,no,no,yes,yes,yes,no,0
GP,M,U,GT3,A,other,other,home,other,no,yes,no,no,yes,yes,yes,yes,0
GP,F,U,GT3,T,health,other,home,mother,no,yes,no,no,yes,yes,yes,no,6
GP,F,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no,10
GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,no,yes,yes,yes,no,no,2
GP,M,U,GT3,T,services,services,course,mother,no,yes,yes,yes,yes,yes,yes,no,2
GP,M,U,LE3,T,health,other,home,father,no,no,no,yes,yes,yes,yes,no,6
GP,M,U,GT3,T,teacher,other,reputation,mother,no,no,no,no,yes,yes,yes,no,0
GP,M,U,GT3,T,health,health,other,father,no,yes,yes,no,yes,yes,yes,no,0
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,yes,yes,yes,yes,no,0
GP,M,U,LE3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,2
GP,F,R,GT3,T,services,health,course,mother,yes,yes,no,yes,yes,yes,yes,no,2
GP,F,U,GT3,T,services,services,home,mother,no,yes,no,no,no,yes,yes,no,6
GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,no,8
GP,M,U,GT3,T,health,services,other,mother,no,no,no,no,yes,yes,yes,no,0
GP,M,U,LE3,A,services,other,home,mother,yes,yes,yes,yes,yes,yes,yes,no,2
GP,M,U,GT3,T,teacher,teacher,home,mother,no,yes,yes,yes,yes,yes,yes,yes,4
